video_id,duration,duration_seconds
2kyS6SvSYSE,PT11M18S,678.0
1ZAPwfrtAFY,PT23M51S,1431.0
puqaWrEC7tY,PT7M10S,430.0
d380meD0W0M,PT12M13S,733.0
gHZ1Qz0KiKM,PT13M53S,833.0
39idVpFF7NQ,PT4M42S,282.0
nc99ccSXST0,PT10M8S,608.0
jr9QtXwC9vc,PT2M29S,149.0
TUmyygCMMGA,PT9M3S,543.0
9wRQljFNDW8,PT1M16S,76.0
VifQlJit6A0,PT1M49S,109.0
5E4ZBSInqUU,PT3M27S,207.0
GgVmn66oK_A,PT4M29S,269.0
TaTleo4cOs8,PT12M23S,743.0
kgaO45SyaO4,PT25S,25.0
ZAQs-ctOqXQ,PT2M19S,139.0
YVfyYrEmzgM,PT4M34S,274.0
eNSN6qet1kE,PT13M43S,823.0
B5HORANmzHw,PT5M18S,318.0
vU14JY3x81A,PT3M47S,227.0
6VhU_T463sU,PT5M5S,305.0
_-aDHxoblr4,PT4M27S,267.0
JBZTZZAcFTw,PT6M,360.0
lZ68j2J_GOM,PT2M35S,155.0
dRpNZV18N_g,PT8M29S,509.0
fcVjitaM3LY,PT8M40S,520.0
qeWvgZLz9yU,PT5M52S,352.0
iIxy3JN3-jc,PT4M39S,279.0
U0hAC8O7RoI,PT8M32S,512.0
n1WpP7iowLc,PT5M5S,305.0
p2hJxyF7mok,PT1M13S,73.0
0mlNzVSJrT0,PT47S,47.0
Om_zGhJLZ5U,PT10M1S,601.0
e_7zHm7GsYc,PT3M43S,223.0
zZ9FciUx6gs,PT4M15S,255.0
PaJCFHXcWmM,PT4M52S,292.0
goP4Z5wyOlM,PT31S,31.0
NZFhMSgbKKM,PT32S,32.0
0tO_l_Ed5Rs,PT4M17S,257.0
STI2fI7sKMo,PT15M51S,951.0
BWPrk9PUwQE,PT6M42S,402.0
ogYum4kWXgk,PT3M20S,200.0
sbcbvuitiTc,PT58S,58.0
zNqCVTs38nU,PT41S,41.0
DM-ni_LSOFE,PT8M49S,529.0
0PpNlNJ6Nng,PT13M48S,828.0
c-3JxzN2u34,PT5M18S,318.0
069D0NmW39o,PT4M58S,298.0
9t9u_yPEidY,PT3M58S,238.0
KODzih-pYlU,PT7M44S,464.0
8NHA23f7LvU,PT2M4S,124.0
w0XYVssCKjw,PT4M41S,281.0
pjuPpVLXDQg,PT1M18S,78.0
9xSx-5tmq44,PT3M28S,208.0
4v0nOAzcG2A,PT7M49S,469.0
oTObwUiXdYY,PT46S,46.0
1cgK-BIrXes,PT1M30S,90.0
ujyTQNNjjDU,PT4M21S,261.0
PABlVzeldaM,PT4M35S,275.0
6340tX9M_eM,PT1M39S,99.0
8mhTWqWlQzU,PT16M7S,967.0
t4YAyT4ihIQ,PT4M25S,265.0
MNiweoKXwfg,PT1M27S,87.0
2Vv-BfVoq4g,PT4M40S,280.0
UFYCTJlayS4,PT10M4S,604.0
cccyOn99s4Y,PT8M3S,483.0
abGCYPCk294,PT50M14S,3014.0
lY_0mkYDZDU,PT4M6S,246.0
k8NxqyGcZA4,PT2M34S,154.0
IE-xepGLVt8,PT4M29S,269.0
ObIQ0s02UHg,PT3M38S,218.0
cOc3tsFWoRs,PT2M22S,142.0
AJYb0Yom5UQ,PT2M41S,161.0
