Video Category,Total per category,Percentage of unique video Categories
Entertainment,1619,25.5081140696392
Music,799,12.588624547030092
Howto & Style,595,9.374507641405389
Comedy,547,8.618244840081928
News & Politics,505,7.9565148889239
People & Blogs,498,7.846226563730896
Sports,451,7.105719237435008
Science & Technology,380,5.987080510477391
Film & Animation,318,5.010241058767922
Education,250,3.93886875689302
Pets & Animals,138,2.1742555538049473
Gaming,103,1.6228139278399243
Autos & Vehicles,70,1.1028832519300458
Travel & Events,60,0.9453285016543248
Nonprofits & Activism,14,0.22057665038600913
