Video Category,Total per category,Percentage of unique video Categories
Music,43,33.33333333333333
Entertainment,31,24.031007751937985
Howto & Style,12,9.30232558139535
Gaming,8,6.2015503875969
Comedy,7,5.426356589147287
Film & Animation,7,5.426356589147287
People & Blogs,6,4.651162790697675
Science & Technology,5,3.875968992248062
Pets & Animals,4,3.10077519379845
Education,3,2.3255813953488373
News & Politics,1,0.7751937984496124
Sports,1,0.7751937984496124
Travel & Events,1,0.7751937984496124
