video_id,duration,categoryId,channelTitle,duration_seconds
j4KvrAUjn6c,PT10M20S,24,Lucas and Marcus,620.0
8h--kFui1JA,PT3M51S,10,SamSmithVEVO,231.0
r-3iathMo7o,PT7M5S,28,Unbox Therapy,425.0
MAjY8mCTXWk,PT4M11S,10,周杰倫 Jay Chou,251.0
t4pRQ0jn23Q,PT6M32S,24,Complex,392.0
QBL8IRJ5yHU,PT27M35S,26,grav3yardgirl,1655.0
iILJvqrAQ_w,PT4M24S,10,Charlie Puth,264.0
NBSAQenU2Bk,PT2M27S,1,Rooster Teeth,147.0
vjSohj-Iclc,PT34S,28,Boston Dynamics,34.0
ulNswX3If6U,PT3M28S,1,Selena Gomez,208.0
mdWcaWBxxcY,PT3M42S,24,Rita Ora,222.0
YI3tsmFsrOg,PT7M9S,27,Kurzgesagt – In a Nutshell,429.0
2PH7dK6SLC8,PT3M37S,10,johnmayerVEVO,217.0
UfKmSfgFxi8,PT8M47S,24,nigahiga,527.0
6S9c5nnDd_s,PT1M38S,1,20th Century Studios,98.0
WIV3xNz8NoM,PT26S,24,Cobra Kai,26.0
0zZ0Y_UZRBw,PT10M49S,26,NikkieTutorials,649.0
nRc0kmOYgzQ,PT2M41S,24,Vat19,161.0
BspHjvU11y4,PT3M52S,10,Kelly Clarkson,232.0
6SuMbFuKDf8,PT3M51S,10,BackstreetBoysVEVO,231.0
